model,array_dim,batch_size,asram_size,wsram_size,array_execution_time,input_data_moved,weight_data_moved,input_transfer_window_cycles,weight_transfer_window_cycles,input_sram_window_cycles,weight_sram_window_cycles,input_dram_bandwidth,weight_dram_bandwidth,input_sram_bandwidth,weight_sram_bandwidth,input_active_avg_required_bandwidth,weight_active_avg_required_bandwidth,input_peak_required_bandwidth,weight_peak_required_bandwidth,input_required_bandwidth,weight_required_bandwidth
llama_3_70b,512x512,512,2.517e+07,7.550e+07,5.028e+04,2.753e+14,6.743e+15,8.237e+12,5.029e+13,5.702e+06,1.558e+06,3.112e+01,1.249e+02,5.717e+01,1.708e+03,3.112e+01,1.249e+02,2.722e+04,3.170e+02,3.112e+01,1.249e+02
llama_3_70b,512x512,512,2.517e+07,8.389e+06,5.028e+04,2.753e+14,6.743e+15,8.237e+12,5.023e+13,5.702e+06,1.263e+07,3.112e+01,1.250e+02,5.717e+01,1.897e+03,3.112e+01,1.250e+02,2.722e+04,3.180e+02,3.112e+01,1.250e+02
llama_3_70b,512x512,512,2.517e+07,8.389e+07,5.028e+04,2.753e+14,6.743e+15,8.237e+12,5.030e+13,5.702e+06,1.419e+06,3.112e+01,1.249e+02,5.717e+01,1.688e+03,3.112e+01,1.249e+02,2.722e+04,3.169e+02,3.112e+01,1.249e+02
llama_3_70b,512x512,512,3.355e+07,1.678e+07,5.028e+04,2.726e+14,6.743e+15,1.059e+13,5.024e+13,5.907e+06,6.402e+06,2.396e+01,1.250e+02,4.098e+01,1.871e+03,2.396e+01,1.250e+02,2.037e+04,3.176e+02,2.396e+01,1.250e+02
llama_3_70b,512x512,512,3.355e+07,2.517e+07,5.028e+04,2.726e+14,6.743e+15,1.059e+13,5.025e+13,5.907e+06,4.326e+06,2.396e+01,1.250e+02,4.098e+01,1.846e+03,2.396e+01,1.250e+02,2.037e+04,3.174e+02,2.396e+01,1.250e+02
llama_3_70b,512x512,512,3.355e+07,3.355e+07,5.028e+04,2.726e+14,6.743e+15,1.059e+13,5.025e+13,5.907e+06,3.288e+06,2.396e+01,1.250e+02,4.098e+01,1.821e+03,2.396e+01,1.250e+02,2.037e+04,3.174e+02,2.396e+01,1.250e+02
llama_3_70b,512x512,512,3.355e+07,4.194e+07,5.028e+04,2.726e+14,6.743e+15,1.059e+13,5.026e+13,5.907e+06,2.666e+06,2.396e+01,1.249e+02,4.098e+01,1.797e+03,2.396e+01,1.249e+02,2.037e+04,3.173e+02,2.396e+01,1.249e+02
llama_3_70b,512x512,512,3.355e+07,5.033e+07,5.028e+04,2.726e+14,6.743e+15,1.059e+13,5.027e+13,5.907e+06,2.250e+06,2.396e+01,1.249e+02,4.098e+01,1.774e+03,2.396e+01,1.249e+02,2.037e+04,3.172e+02,2.396e+01,1.249e+02
llama_3_70b,512x512,512,3.355e+07,5.872e+07,5.028e+04,2.726e+14,6.743e+15,1.059e+13,5.027e+13,5.907e+06,1.953e+06,2.396e+01,1.249e+02,4.098e+01,1.752e+03,2.396e+01,1.249e+02,2.037e+04,3.171e+02,2.396e+01,1.249e+02
llama_3_70b,512x512,512,3.355e+07,6.711e+07,5.028e+04,2.726e+14,6.743e+15,1.059e+13,5.028e+13,5.907e+06,1.732e+06,2.396e+01,1.249e+02,4.098e+01,1.729e+03,2.396e+01,1.249e+02,2.037e+04,3.170e+02,2.396e+01,1.249e+02
llama_3_70b,512x512,512,3.355e+07,7.550e+07,5.028e+04,2.726e+14,6.743e+15,1.059e+13,5.029e+13,5.907e+06,1.558e+06,2.396e+01,1.249e+02,4.098e+01,1.708e+03,2.396e+01,1.249e+02,2.037e+04,3.170e+02,2.396e+01,1.249e+02
llama_3_70b,512x512,512,3.355e+07,8.389e+06,5.028e+04,2.726e+14,6.743e+15,1.059e+13,5.023e+13,5.907e+06,1.263e+07,2.396e+01,1.250e+02,4.098e+01,1.897e+03,2.396e+01,1.250e+02,2.037e+04,3.180e+02,2.396e+01,1.250e+02
llama_3_70b,512x512,512,3.355e+07,8.389e+07,5.028e+04,2.726e+14,6.743e+15,1.059e+13,5.030e+13,5.907e+06,1.419e+06,2.396e+01,1.249e+02,4.098e+01,1.688e+03,2.396e+01,1.249e+02,2.037e+04,3.169e+02,2.396e+01,1.249e+02
llama_3_70b,512x512,512,4.194e+07,1.678e+07,5.028e+04,2.699e+14,6.743e+15,1.093e+13,5.024e+13,4.737e+06,6.402e+06,2.299e+01,1.250e+02,4.048e+01,1.871e+03,2.299e+01,1.250e+02,1.631e+04,3.176e+02,2.299e+01,1.250e+02
llama_3_70b,512x512,512,4.194e+07,2.517e+07,5.028e+04,2.699e+14,6.743e+15,1.093e+13,5.025e+13,4.737e+06,4.326e+06,2.299e+01,1.250e+02,4.048e+01,1.846e+03,2.299e+01,1.250e+02,1.631e+04,3.174e+02,2.299e+01,1.250e+02
llama_3_70b,512x512,512,4.194e+07,3.355e+07,5.028e+04,2.699e+14,6.743e+15,1.093e+13,5.025e+13,4.737e+06,3.288e+06,2.299e+01,1.250e+02,4.048e+01,1.821e+03,2.299e+01,1.250e+02,1.631e+04,3.174e+02,2.299e+01,1.250e+02
llama_3_70b,512x512,512,4.194e+07,4.194e+07,5.028e+04,2.699e+14,6.743e+15,1.093e+13,5.026e+13,4.737e+06,2.666e+06,2.299e+01,1.249e+02,4.048e+01,1.797e+03,2.299e+01,1.249e+02,1.631e+04,3.173e+02,2.299e+01,1.249e+02
llama_3_70b,512x512,512,4.194e+07,5.033e+07,5.028e+04,2.699e+14,6.743e+15,1.093e+13,5.027e+13,4.737e+06,2.250e+06,2.299e+01,1.249e+02,4.048e+01,1.774e+03,2.299e+01,1.249e+02,1.631e+04,3.172e+02,2.299e+01,1.249e+02
llama_3_70b,512x512,512,4.194e+07,5.872e+07,5.028e+04,2.699e+14,6.743e+15,1.093e+13,5.027e+13,4.737e+06,1.953e+06,2.299e+01,1.249e+02,4.048e+01,1.752e+03,2.299e+01,1.249e+02,1.631e+04,3.171e+02,2.299e+01,1.249e+02
llama_3_70b,512x512,512,4.194e+07,6.711e+07,5.028e+04,2.699e+14,6.743e+15,1.093e+13,5.028e+13,4.737e+06,1.732e+06,2.299e+01,1.249e+02,4.048e+01,1.729e+03,2.299e+01,1.249e+02,1.631e+04,3.170e+02,2.299e+01,1.249e+02
llama_3_70b,512x512,512,4.194e+07,7.550e+07,5.028e+04,2.699e+14,6.743e+15,1.093e+13,5.029e+13,4.737e+06,1.558e+06,2.299e+01,1.249e+02,4.048e+01,1.708e+03,2.299e+01,1.249e+02,1.631e+04,3.170e+02,2.299e+01,1.249e+02
llama_3_70b,512x512,512,4.194e+07,8.389e+06,5.028e+04,2.699e+14,6.743e+15,1.093e+13,5.023e+13,4.737e+06,1.263e+07,2.299e+01,1.250e+02,4.048e+01,1.897e+03,2.299e+01,1.250e+02,1.631e+04,3.180e+02,2.299e+01,1.250e+02
llama_3_70b,512x512,512,4.194e+07,8.389e+07,5.028e+04,2.699e+14,6.743e+15,1.093e+13,5.030e+13,4.737e+06,1.419e+06,2.299e+01,1.249e+02,4.048e+01,1.688e+03,2.299e+01,1.249e+02,1.631e+04,3.169e+02,2.299e+01,1.249e+02
llama_3_70b,512x512,512,5.033e+07,1.678e+07,5.028e+04,2.671e+14,6.743e+15,1.322e+13,5.024e+13,4.782e+06,6.402e+06,1.882e+01,1.250e+02,3.308e+01,1.871e+03,1.882e+01,1.250e+02,1.361e+04,3.176e+02,1.882e+01,1.250e+02
llama_3_70b,512x512,512,5.033e+07,2.517e+07,5.028e+04,2.671e+14,6.743e+15,1.322e+13,5.025e+13,4.782e+06,4.326e+06,1.882e+01,1.250e+02,3.308e+01,1.846e+03,1.882e+01,1.250e+02,1.361e+04,3.174e+02,1.882e+01,1.250e+02
llama_3_70b,512x512,512,5.033e+07,3.355e+07,5.028e+04,2.671e+14,6.743e+15,1.322e+13,5.025e+13,4.782e+06,3.288e+06,1.882e+01,1.250e+02,3.308e+01,1.821e+03,1.882e+01,1.250e+02,1.361e+04,3.174e+02,1.882e+01,1.250e+02
llama_3_70b,512x512,512,5.033e+07,4.194e+07,5.028e+04,2.671e+14,6.743e+15,1.322e+13,5.026e+13,4.782e+06,2.666e+06,1.882e+01,1.249e+02,3.308e+01,1.797e+03,1.882e+01,1.249e+02,1.361e+04,3.173e+02,1.882e+01,1.249e+02
llama_3_70b,512x512,512,5.033e+07,5.033e+07,5.028e+04,2.671e+14,6.743e+15,1.322e+13,5.027e+13,4.782e+06,2.250e+06,1.882e+01,1.249e+02,3.308e+01,1.774e+03,1.882e+01,1.249e+02,1.361e+04,3.172e+02,1.882e+01,1.249e+02
llama_3_70b,512x512,512,5.033e+07,5.872e+07,5.028e+04,2.671e+14,6.743e+15,1.322e+13,5.027e+13,4.782e+06,1.953e+06,1.882e+01,1.249e+02,3.308e+01,1.752e+03,1.882e+01,1.249e+02,1.361e+04,3.171e+02,1.882e+01,1.249e+02
llama_3_70b,512x512,512,5.033e+07,6.711e+07,5.028e+04,2.671e+14,6.743e+15,1.322e+13,5.028e+13,4.782e+06,1.732e+06,1.882e+01,1.249e+02,3.308e+01,1.729e+03,1.882e+01,1.249e+02,1.361e+04,3.170e+02,1.882e+01,1.249e+02
llama_3_70b,512x512,512,5.033e+07,7.550e+07,5.028e+04,2.671e+14,6.743e+15,1.322e+13,5.029e+13,4.782e+06,1.558e+06,1.882e+01,1.249e+02,3.308e+01,1.708e+03,1.882e+01,1.249e+02,1.361e+04,3.170e+02,1.882e+01,1.249e+02
llama_3_70b,512x512,512,5.033e+07,8.389e+06,5.028e+04,2.671e+14,6.743e+15,1.322e+13,5.023e+13,4.782e+06,1.263e+07,1.882e+01,1.250e+02,3.308e+01,1.897e+03,1.882e+01,1.250e+02,1.361e+04,3.180e+02,1.882e+01,1.250e+02
llama_3_70b,512x512,512,5.033e+07,8.389e+07,5.028e+04,2.671e+14,6.743e+15,1.322e+13,5.030e+13,4.782e+06,1.419e+06,1.882e+01,1.249e+02,3.308e+01,1.688e+03,1.882e+01,1.249e+02,1.361e+04,3.169e+02,1.882e+01,1.249e+02
llama_3_70b,512x512,512,5.872e+07,1.678e+07,5.028e+04,2.644e+14,6.743e+15,1.343e+13,5.024e+13,3.980e+06,6.402e+06,1.834e+01,1.250e+02,3.372e+01,1.871e+03,1.834e+01,1.250e+02,1.170e+04,3.176e+02,1.834e+01,1.250e+02
llama_3_70b,512x512,512,5.872e+07,2.517e+07,5.028e+04,2.644e+14,6.743e+15,1.343e+13,5.025e+13,3.980e+06,4.326e+06,1.834e+01,1.250e+02,3.372e+01,1.846e+03,1.834e+01,1.250e+02,1.170e+04,3.174e+02,1.834e+01,1.250e+02
llama_3_70b,512x512,512,5.872e+07,3.355e+07,5.028e+04,2.644e+14,6.743e+15,1.343e+13,5.025e+13,3.980e+06,3.288e+06,1.834e+01,1.250e+02,3.372e+01,1.821e+03,1.834e+01,1.250e+02,1.170e+04,3.174e+02,1.834e+01,1.250e+02
llama_3_70b,512x512,512,5.872e+07,4.194e+07,5.028e+04,2.644e+14,6.743e+15,1.343e+13,5.026e+13,3.980e+06,2.666e+06,1.834e+01,1.249e+02,3.372e+01,1.797e+03,1.834e+01,1.249e+02,1.170e+04,3.173e+02,1.834e+01,1.249e+02
llama_3_70b,512x512,512,5.872e+07,5.033e+07,5.028e+04,2.644e+14,6.743e+15,1.343e+13,5.027e+13,3.980e+06,2.250e+06,1.834e+01,1.249e+02,3.372e+01,1.774e+03,1.834e+01,1.249e+02,1.170e+04,3.172e+02,1.834e+01,1.249e+02
llama_3_70b,512x512,512,5.872e+07,5.872e+07,5.028e+04,2.644e+14,6.743e+15,1.343e+13,5.027e+13,3.980e+06,1.953e+06,1.834e+01,1.249e+02,3.372e+01,1.752e+03,1.834e+01,1.249e+02,1.170e+04,3.171e+02,1.834e+01,1.249e+02
llama_3_70b,512x512,512,5.872e+07,6.711e+07,5.028e+04,2.644e+14,6.743e+15,1.343e+13,5.028e+13,3.980e+06,1.732e+06,1.834e+01,1.249e+02,3.372e+01,1.729e+03,1.834e+01,1.249e+02,1.170e+04,3.170e+02,1.834e+01,1.249e+02
llama_3_70b,512x512,512,5.872e+07,7.550e+07,5.028e+04,2.644e+14,6.743e+15,1.343e+13,5.029e+13,3.980e+06,1.558e+06,1.834e+01,1.249e+02,3.372e+01,1.708e+03,1.834e+01,1.249e+02,1.170e+04,3.170e+02,1.834e+01,1.249e+02
llama_3_70b,512x512,512,5.872e+07,8.389e+06,5.028e+04,2.644e+14,6.743e+15,1.343e+13,5.023e+13,3.980e+06,1.263e+07,1.834e+01,1.250e+02,3.372e+01,1.897e+03,1.834e+01,1.250e+02,1.170e+04,3.180e+02,1.834e+01,1.250e+02
llama_3_70b,512x512,512,5.872e+07,8.389e+07,5.028e+04,2.644e+14,6.743e+15,1.343e+13,5.030e+13,3.980e+06,1.419e+06,1.834e+01,1.249e+02,3.372e+01,1.688e+03,1.834e+01,1.249e+02,1.170e+04,3.169e+02,1.834e+01,1.249e+02
llama_3_70b,512x512,512,6.711e+07,1.678e+07,5.028e+04,2.617e+14,6.743e+15,1.793e+13,5.024e+13,4.598e+06,6.402e+06,1.359e+01,1.250e+02,2.528e+01,1.871e+03,1.359e+01,1.250e+02,1.019e+04,3.176e+02,1.359e+01,1.250e+02
llama_3_70b,512x512,512,6.711e+07,2.517e+07,5.028e+04,2.617e+14,6.743e+15,1.793e+13,5.025e+13,4.598e+06,4.326e+06,1.359e+01,1.250e+02,2.528e+01,1.846e+03,1.359e+01,1.250e+02,1.019e+04,3.174e+02,1.359e+01,1.250e+02
llama_3_70b,512x512,512,6.711e+07,3.355e+07,5.028e+04,2.617e+14,6.743e+15,1.793e+13,5.025e+13,4.598e+06,3.288e+06,1.359e+01,1.250e+02,2.528e+01,1.821e+03,1.359e+01,1.250e+02,1.019e+04,3.174e+02,1.359e+01,1.250e+02
llama_3_70b,512x512,512,6.711e+07,4.194e+07,5.028e+04,2.617e+14,6.743e+15,1.793e+13,5.026e+13,4.598e+06,2.666e+06,1.359e+01,1.249e+02,2.528e+01,1.797e+03,1.359e+01,1.249e+02,1.019e+04,3.173e+02,1.359e+01,1.249e+02
llama_3_70b,512x512,512,6.711e+07,5.033e+07,5.028e+04,2.617e+14,6.743e+15,1.793e+13,5.027e+13,4.598e+06,2.250e+06,1.359e+01,1.249e+02,2.528e+01,1.774e+03,1.359e+01,1.249e+02,1.019e+04,3.172e+02,1.359e+01,1.249e+02
llama_3_70b,512x512,512,6.711e+07,5.872e+07,5.028e+04,2.617e+14,6.743e+15,1.793e+13,5.027e+13,4.598e+06,1.953e+06,1.359e+01,1.249e+02,2.528e+01,1.752e+03,1.359e+01,1.249e+02,1.019e+04,3.171e+02,1.359e+01,1.249e+02
llama_3_70b,512x512,512,6.711e+07,6.711e+07,5.028e+04,2.617e+14,6.743e+15,1.793e+13,5.028e+13,4.598e+06,1.732e+06,1.359e+01,1.249e+02,2.528e+01,1.729e+03,1.359e+01,1.249e+02,1.019e+04,3.170e+02,1.359e+01,1.249e+02
llama_3_70b,512x512,512,6.711e+07,7.550e+07,5.028e+04,2.617e+14,6.743e+15,1.793e+13,5.029e+13,4.598e+06,1.558e+06,1.359e+01,1.249e+02,2.528e+01,1.708e+03,1.359e+01,1.249e+02,1.019e+04,3.170e+02,1.359e+01,1.249e+02
llama_3_70b,512x512,512,6.711e+07,8.389e+06,5.028e+04,2.617e+14,6.743e+15,1.793e+13,5.023e+13,4.598e+06,1.263e+07,1.359e+01,1.250e+02,2.528e+01,1.897e+03,1.359e+01,1.250e+02,1.019e+04,3.180e+02,1.359e+01,1.250e+02
llama_3_70b,512x512,512,6.711e+07,8.389e+07,5.028e+04,2.617e+14,6.743e+15,1.793e+13,5.030e+13,4.598e+06,1.419e+06,1.359e+01,1.249e+02,2.528e+01,1.688e+03,1.359e+01,1.249e+02,1.019e+04,3.169e+02,1.359e+01,1.249e+02
llama_3_70b,512x512,512,7.550e+07,1.678e+07,5.028e+04,2.590e+14,6.743e+15,1.793e+13,5.024e+13,3.813e+06,6.402e+06,1.345e+01,1.250e+02,2.682e+01,1.871e+03,1.345e+01,1.250e+02,9.072e+03,3.176e+02,1.345e+01,1.250e+02
llama_3_70b,512x512,512,7.550e+07,2.517e+07,5.028e+04,2.590e+14,6.743e+15,1.793e+13,5.025e+13,3.813e+06,4.326e+06,1.345e+01,1.250e+02,2.682e+01,1.846e+03,1.345e+01,1.250e+02,9.072e+03,3.174e+02,1.345e+01,1.250e+02
llama_3_70b,512x512,512,7.550e+07,3.355e+07,5.028e+04,2.590e+14,6.743e+15,1.793e+13,5.025e+13,3.813e+06,3.288e+06,1.345e+01,1.250e+02,2.682e+01,1.821e+03,1.345e+01,1.250e+02,9.072e+03,3.174e+02,1.345e+01,1.250e+02
llama_3_70b,512x512,512,7.550e+07,4.194e+07,5.028e+04,2.590e+14,6.743e+15,1.793e+13,5.026e+13,3.813e+06,2.666e+06,1.345e+01,1.249e+02,2.682e+01,1.797e+03,1.345e+01,1.249e+02,9.072e+03,3.173e+02,1.345e+01,1.249e+02
llama_3_70b,512x512,512,7.550e+07,5.033e+07,5.028e+04,2.590e+14,6.743e+15,1.793e+13,5.027e+13,3.813e+06,2.250e+06,1.345e+01,1.249e+02,2.682e+01,1.774e+03,1.345e+01,1.249e+02,9.072e+03,3.172e+02,1.345e+01,1.249e+02
llama_3_70b,512x512,512,7.550e+07,5.872e+07,5.028e+04,2.590e+14,6.743e+15,1.793e+13,5.027e+13,3.813e+06,1.953e+06,1.345e+01,1.249e+02,2.682e+01,1.752e+03,1.345e+01,1.249e+02,9.072e+03,3.171e+02,1.345e+01,1.249e+02
llama_3_70b,512x512,512,7.550e+07,6.711e+07,5.028e+04,2.590e+14,6.743e+15,1.793e+13,5.028e+13,3.813e+06,1.732e+06,1.345e+01,1.249e+02,2.682e+01,1.729e+03,1.345e+01,1.249e+02,9.072e+03,3.170e+02,1.345e+01,1.249e+02
llama_3_70b,512x512,512,7.550e+07,7.550e+07,5.028e+04,2.590e+14,6.743e+15,1.793e+13,5.029e+13,3.813e+06,1.558e+06,1.345e+01,1.249e+02,2.682e+01,1.708e+03,1.345e+01,1.249e+02,9.072e+03,3.170e+02,1.345e+01,1.249e+02
llama_3_70b,512x512,512,7.550e+07,8.389e+06,5.028e+04,2.590e+14,6.743e+15,1.793e+13,5.023e+13,3.813e+06,1.263e+07,1.345e+01,1.250e+02,2.682e+01,1.897e+03,1.345e+01,1.250e+02,9.072e+03,3.180e+02,1.345e+01,1.250e+02
llama_3_70b,512x512,512,7.550e+07,8.389e+07,5.028e+04,2.590e+14,6.743e+15,1.793e+13,5.030e+13,3.813e+06,1.419e+06,1.345e+01,1.249e+02,2.682e+01,1.688e+03,1.345e+01,1.249e+02,9.072e+03,3.169e+02,1.345e+01,1.249e+02
llama_3_70b,512x512,512,8.389e+06,1.678e+07,5.028e+04,2.807e+14,6.743e+15,5.090e+12,5.024e+13,7.267e+06,6.402e+06,5.136e+01,1.250e+02,1.372e+02,1.871e+03,5.136e+01,1.250e+02,8.149e+04,3.176e+02,5.136e+01,1.250e+02
llama_3_70b,512x512,512,8.389e+06,2.517e+07,5.028e+04,2.807e+14,6.743e+15,5.090e+12,5.025e+13,7.267e+06,4.326e+06,5.136e+01,1.250e+02,1.372e+02,1.846e+03,5.136e+01,1.250e+02,8.149e+04,3.174e+02,5.136e+01,1.250e+02
llama_3_70b,512x512,512,8.389e+06,3.355e+07,5.028e+04,2.807e+14,6.743e+15,5.090e+12,5.025e+13,7.267e+06,3.288e+06,5.136e+01,1.250e+02,1.372e+02,1.821e+03,5.136e+01,1.250e+02,8.149e+04,3.174e+02,5.136e+01,1.250e+02
llama_3_70b,512x512,512,8.389e+06,4.194e+07,5.028e+04,2.807e+14,6.743e+15,5.090e+12,5.026e+13,7.267e+06,2.666e+06,5.136e+01,1.249e+02,1.372e+02,1.797e+03,5.136e+01,1.249e+02,8.149e+04,3.173e+02,5.136e+01,1.249e+02
llama_3_70b,512x512,512,8.389e+06,5.033e+07,5.028e+04,2.807e+14,6.743e+15,5.090e+12,5.027e+13,7.267e+06,2.250e+06,5.136e+01,1.249e+02,1.372e+02,1.774e+03,5.136e+01,1.249e+02,8.149e+04,3.172e+02,5.136e+01,1.249e+02
llama_3_70b,512x512,512,8.389e+06,5.872e+07,5.028e+04,2.807e+14,6.743e+15,5.090e+12,5.027e+13,7.267e+06,1.953e+06,5.136e+01,1.249e+02,1.372e+02,1.752e+03,5.136e+01,1.249e+02,8.149e+04,3.171e+02,5.136e+01,1.249e+02
llama_3_70b,512x512,512,8.389e+06,6.711e+07,5.028e+04,2.807e+14,6.743e+15,5.090e+12,5.028e+13,7.267e+06,1.732e+06,5.136e+01,1.249e+02,1.372e+02,1.729e+03,5.136e+01,1.249e+02,8.149e+04,3.170e+02,5.136e+01,1.249e+02
llama_3_70b,512x512,512,8.389e+06,7.550e+07,5.028e+04,2.807e+14,6.743e+15,5.090e+12,5.029e+13,7.267e+06,1.558e+06,5.136e+01,1.249e+02,1.372e+02,1.708e+03,5.136e+01,1.249e+02,8.149e+04,3.170e+02,5.136e+01,1.249e+02
llama_3_70b,512x512,512,8.389e+06,8.389e+06,5.028e+04,2.807e+14,6.743e+15,5.090e+12,5.023e+13,7.267e+06,1.263e+07,5.136e+01,1.250e+02,1.372e+02,1.897e+03,5.136e+01,1.250e+02,8.149e+04,3.180e+02,5.136e+01,1.250e+02
llama_3_70b,512x512,512,8.389e+06,8.389e+07,5.028e+04,2.807e+14,6.743e+15,5.090e+12,5.030e+13,7.267e+06,1.419e+06,5.136e+01,1.249e+02,1.372e+02,1.688e+03,5.136e+01,1.249e+02,8.149e+04,3.169e+02,5.136e+01,1.249e+02
llama_3_70b,512x512,512,8.389e+07,1.678e+07,5.028e+04,2.563e+14,6.743e+15,1.835e+13,5.024e+13,3.344e+06,6.402e+06,1.301e+01,1.250e+02,2.723e+01,1.871e+03,1.301e+01,1.250e+02,8.196e+03,3.176e+02,1.301e+01,1.250e+02
llama_3_70b,512x512,512,8.389e+07,2.517e+07,5.028e+04,2.563e+14,6.743e+15,1.835e+13,5.025e+13,3.344e+06,4.326e+06,1.301e+01,1.250e+02,2.723e+01,1.846e+03,1.301e+01,1.250e+02,8.196e+03,3.174e+02,1.301e+01,1.250e+02
